year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1974,4,.66773689,all,15-17 yrs,146,138723,15.99429,0,.1622718,1.63,.33000001,1.09,3.0599999,105.2457
1975,4,.66324645,all,15-17 yrs,126,140615,15.992967,0,.14869888,1.63,.36000001,1.08,3.0599999,89.606369
1976,4,.67162627,all,15-17 yrs,117,142776,15.987743,0,.14059754,1.67,.38999999,1.12,3.1700001,81.946548
1977,4,.67878205,all,15-17 yrs,156,144855,15.995443,0,.1320132,1.7,.34,1.05,3.0999999,107.6939
1978,4,.67937559,all,15-17 yrs,167,145872,16.00778,0,.12269939,1.77,.37,1.1,3.25,114.48393
1979,4,.67866242,all,15-17 yrs,152,146762,16.009151,0,.11019284,1.86,.38999999,1.17,3.4200001,103.56905
1980,4,.68303233,all,15-17 yrs,139,146391,16.017952,0,.097087376,1.6900001,.36000001,.98000002,3.03,94.951195
1981,4,.684717,all,15-17 yrs,124,142320,16.036573,0,.088008799,1.78,.41999999,1.01,3.22,87.127602
1982,4,.68108976,all,15-17 yrs,104,138459,16.031605,0,.082901552,1.74,.40000001,.99000001,3.1300001,75.112488
1983,4,.68719566,all,15-17 yrs,101,135998,16.018816,0,.080321282,1.62,.44,1,3.0599999,74.2658
1984,4,.69381791,all,15-17 yrs,113,138413,16.005468,0,.15399422,1.5700001,.44999999,1.0599999,3.0799999,81.639732
1985,4,.51944566,all,15-17 yrs,131,143897,15.9905,0,.14869888,1.67,.46000001,1,3.1199999,91.037338
1986,4,.1716173,all,15-17 yrs,149,150747,15.993074,0,.14598539,1.77,.46000001,.91000003,3.1400001,98.841103
1987,4,0,all,15-17 yrs,135,154385,16.027483,0,.14084508,1.67,.46000001,.86000001,2.99,87.443726
1988,4,0,all,15-17 yrs,136,152857,16.048824,0,.13524936,1.64,.41999999,.88,2.9400001,88.972046
1989,4,0,all,15-17 yrs,116,148929,16.022547,0,.12903225,1.6799999,.36000001,.85000002,2.8900001,77.889465
1990,4,0,all,15-17 yrs,118,149996,15.991553,0,.12241775,1.59,.37,.80000001,2.77,78.668762
1991,4,0,all,15-17 yrs,149,151389,15.995508,0,.1174743,1.58,.34999999,.77999997,2.71,98.421944
1992,4,0,all,15-17 yrs,120,156567,15.995094,0,.11404134,1.58,.31,.80000001,2.6900001,76.644501
1993,4,0,all,15-17 yrs,138,162176,15.986336,0,.11072664,1.58,.27000001,.75999999,2.6199999,85.092735
1994,4,0,all,15-17 yrs,147,169606,15.99796,0,.10796221,1.52,.28999999,.69999999,2.5,86.671463
1995,4,0,all,15-17 yrs,187,181010,15.978415,0,.10498688,1.47,.28999999,.68000001,2.4400001,103.30921
1996,4,0,all,15-17 yrs,149,190836,15.9858,0,.10197578,1.52,.33000001,.73000002,2.5799999,78.077515
1970,5,0,all,15-17 yrs,111,114329,15.977259,0,.41569671,.70999998,.13,.58999997,1.4299999,97.088226
1971,5,0,all,15-17 yrs,110,118489,15.990818,0,.39824769,.76999998,.14,.56,1.47,92.835625
1972,5,0,all,15-17 yrs,148,121659,15.986232,0,.38586202,.76999998,.13,.56999999,1.47,121.6515
1973,5,0,all,15-17 yrs,119,124273,15.990094,0,.36326647,.81999999,.13,.61000001,1.5599999,95.75692
1974,5,0,all,15-17 yrs,142,126534,15.997684,0,.32716089,.88999999,.13,.64999998,1.66,112.2228
1975,5,0,all,15-17 yrs,115,129019,15.994838,0,.29979613,.88999999,.12,.63,1.64,89.134155
1976,5,0,all,15-17 yrs,110,128565,15.993482,0,.28346276,.86000001,.12,.67000002,1.66,85.559837
1977,5,0,all,15-17 yrs,119,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,91.821693
1978,5,0,all,15-17 yrs,111,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,84.717949
1979,5,0,all,15-17 yrs,109,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,83.219444
1980,5,0,all,15-17 yrs,131,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,101.74678
1981,5,0,all,15-17 yrs,92,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,75.114304
1982,5,0,all,15-17 yrs,78,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,67.806633
1983,5,0,all,15-17 yrs,77,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,70.295242
1984,5,0,all,15-17 yrs,89,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,81.947594
1985,5,0,all,15-17 yrs,96,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,87.369629
1986,5,0,all,15-17 yrs,95,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,84.297577
1987,5,0,all,15-17 yrs,117,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,103.4053
1988,5,0,all,15-17 yrs,107,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,96.485931
1989,5,0,all,15-17 yrs,120,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,112.5862
1990,5,0,all,15-17 yrs,109,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,103.8026
1991,5,0,all,15-17 yrs,89,105146,16.012127,0,.18355361,1.12,.11,.57999998,1.8099999,84.644211
1992,5,0,all,15-17 yrs,86,107657,16.00248,0,.17818959,1.13,.12,.64999998,1.9,79.883331
1993,5,0,all,15-17 yrs,107,108859,15.999788,0,.17301038,1.1,.11,.57999998,1.79,98.29229
1994,5,0,all,15-17 yrs,113,111595,16.005968,0,.16869096,1.0599999,.13,.46000001,1.65,101.25902
1995,5,0,all,15-17 yrs,95,115159,15.982529,0,.164042,1.08,.12,.50999999,1.7,82.494637
1996,5,0,all,15-17 yrs,99,117837,15.989027,0,.15933716,1.1,.12,.52999997,1.75,84.014359
1970,6,0,all,15-17 yrs,967,1112745,15.990154,0,.10309278,1.1,.63,1.37,3.1099999,86.902214
1971,6,0,all,15-17 yrs,1047,1138589,15.991659,0,.098765433,1.13,.68000001,1.38,3.1900001,91.955917
1972,6,0,all,15-17 yrs,1054,1165220,15.983013,0,.095693782,1.17,.66000003,1.33,3.1600001,90.455025
1973,6,0,all,15-17 yrs,1041,1190568,15.989583,0,.090090089,1.1900001,.68000001,1.34,3.21,87.437256
1974,6,0,all,15-17 yrs,943,1211541,16.004696,0,.081135899,1.3,.68000001,1.35,3.3299999,77.834755
1975,6,0,all,15-17 yrs,875,1219627,16.003029,0,.074349441,1.27,.69999999,1.36,3.3299999,71.743248
1976,6,0,all,15-17 yrs,934,1241314,15.99395,0,.070298769,1.3200001,.69999999,1.34,3.3599999,75.242851
1977,6,0,all,15-17 yrs,1063,1255913,16.001945,0,.066006601,1.3099999,.67000002,1.28,3.25,84.639618
1978,6,0,all,15-17 yrs,1021,1265240,16.017555,0,.061349694,1.36,.68000001,1.3200001,3.3599999,80.696152
1979,6,0,all,15-17 yrs,1029,1250089,16.018896,0,.055096418,1.42,.69999999,1.28,3.4000001,82.31414
1980,6,0,all,15-17 yrs,1058,1227216,16.029789,0,.048543688,1.42,.70999998,1.25,3.3800001,86.211395
1981,6,0,all,15-17 yrs,856,1184239,16.041054,0,.044004399,1.4299999,.72000003,1.21,3.3599999,72.282707
1982,6,0,all,15-17 yrs,744,1148300,16.031483,0,.041450776,1.37,.72000003,1.14,3.23,64.791428
1983,6,0,all,15-17 yrs,729,1131222,16.017612,0,.040160641,1.37,.75,1.11,3.23,64.443581
1984,6,0,all,15-17 yrs,742,1141094,16.002052,0,.038498554,1.38,.74000001,1.0700001,3.1900001,65.025314
1985,6,0,all,15-17 yrs,794,1173339,15.994569,0,.03717472,1.3200001,.77999997,1.02,3.1199999,67.670128
1986,6,0,all,15-17 yrs,878,1215494,16.006756,0,.036496349,1.36,.79000002,.95999998,3.1099999,72.234009
1987,6,0,all,15-17 yrs,812,1214312,16.046434,0,.035211269,1.36,.74000001,.93000001,3.03,66.869141
1988,6,0,all,15-17 yrs,773,1186929,16.066904,0,.03381234,1.34,.68000001,.88999999,2.9000001,65.126053
1989,6,0,all,15-17 yrs,855,1152224,16.043724,0,.032258064,1.3099999,.61000001,.87,2.79,74.204323
1990,6,0,all,15-17 yrs,859,1170941,16.010555,0,.030604437,1.3200001,.58999997,.87,2.78,73.359802
1991,6,0,all,15-17 yrs,888,1160232,15.999171,0,.14684288,1.22,.49000001,.75,2.46,76.536415
1992,6,0,all,15-17 yrs,893,1178723,15.9953,0,.14255168,1.28,.50999999,.75,2.54,75.759956
1993,6,0,all,15-17 yrs,914,1186448,15.991765,0,.1384083,1.17,.47999999,.69,2.3499999,77.036667
1994,6,0,all,15-17 yrs,851,1212530,15.994899,0,.13495277,1.09,.47,.68000001,2.24,70.18383
1995,6,0,all,15-17 yrs,871,1245775,15.977026,0,.1312336,1.14,.44999999,.63999999,2.23,69.916321
1996,6,0,all,15-17 yrs,808,1292840,15.984363,0,.12746973,1.11,.49000001,.63999999,2.24,62.498066
1970,8,1,all,15-17 yrs,150,130002,15.984254,0,.15463917,1.1799999,.31,1.26,2.75,115.38284
1971,8,1,all,15-17 yrs,173,137040,15.986661,0,.14814815,1.21,.38,1.33,2.9200001,126.24052
1972,8,1,all,15-17 yrs,166,144498,15.977086,0,.14354067,1.28,.37,1.28,2.9300001,114.88049
1973,8,1,all,15-17 yrs,134,151209,15.98395,0,.13513513,1.34,.38999999,1.3200001,3.05,88.619064
1974,8,1,all,15-17 yrs,147,154594,15.993939,0,.12170386,1.42,.38999999,1.37,3.1900001,95.087776
1975,8,1,all,15-17 yrs,117,155509,15.992528,0,.11152416,1.4299999,.41999999,1.39,3.24,75.236801
1976,8,1,all,15-17 yrs,118,157587,15.986033,0,.14059754,1.46,.46000001,1.37,3.29,74.879272
1977,8,1,all,15-17 yrs,152,159106,15.99325,0,.1320132,1.4299999,.36000001,1.22,3.01,95.533798
1978,8,1,all,15-17 yrs,142,159178,16.010649,0,.12269939,1.64,.47,1.4299999,3.54,89.208305
1979,8,1,all,15-17 yrs,118,156846,16.014263,0,.11019284,1.6799999,.47,1.37,3.52,75.233032
1980,8,1,all,15-17 yrs,125,152154,16.025389,0,.097087376,1.5700001,.47,1.3099999,3.3499999,82.15361
1981,8,1,all,15-17 yrs,105,146763,16.040752,0,.088008799,1.63,.44,1.26,3.3299999,71.543915
1982,8,1,all,15-17 yrs,93,142536,16.028189,0,.082901552,1.64,.46000001,1.1799999,3.28,65.246674
1983,8,1,all,15-17 yrs,98,140833,16.003977,0,.080321282,1.5700001,.46000001,1.12,3.1500001,69.58596
1984,8,1,all,15-17 yrs,125,142486,15.986946,0,.076997109,1.51,.46000001,1.12,3.0899999,87.727921
1985,8,1,all,15-17 yrs,104,145731,15.98102,0,.074349441,1.47,.5,1.1799999,3.1500001,71.364365
1986,8,1,all,15-17 yrs,116,149438,15.989781,0,.072992697,1.47,.46000001,.94,2.8699999,77.624168
1987,8,.79031384,all,15-17 yrs,99,146920,16.024271,0,.070422538,1.4299999,.44,.93000001,2.8,67.383614
1988,8,.32776895,all,15-17 yrs,97,139361,16.049576,0,.067624681,1.42,.38999999,.91000003,2.72,69.603401
1989,8,.041140117,all,15-17 yrs,82,130968,16.027456,0,.064516127,1.4,.37,.83999997,2.5999999,62.610714
1990,8,0,all,15-17 yrs,101,129829,15.993523,0,.061208874,1.35,.28999999,.75,2.3900001,77.79464
1991,8,0,all,15-17 yrs,98,131665,15.992512,0,.058737151,1.39,.34999999,.87,2.6099999,74.43132
1992,8,0,all,15-17 yrs,114,138253,15.989382,0,.057020668,1.34,.36000001,.81,2.52,82.457527
1993,8,0,all,15-17 yrs,108,143634,15.991026,0,.05536332,1.4,.36000001,.86000001,2.6300001,75.191109
1994,8,0,all,15-17 yrs,127,150459,15.999661,0,.053981107,1.36,.34999999,.83999997,2.55,84.408379
1995,8,0,all,15-17 yrs,112,158133,15.986796,0,.052493438,1.34,.34999999,.77999997,2.47,70.826454
1996,8,0,all,15-17 yrs,97,165947,15.997746,0,.050987892,1.36,.37,.83999997,2.5699999,58.452396
1970,9,0,all,15-17 yrs,117,167630,15.978244,0,.20784836,1,.34,1.46,2.8,69.796577
1971,9,0,all,15-17 yrs,120,172137,15.982066,0,.19912384,.99000001,.37,1.4400001,2.8,69.711914
1972,9,.25205478,all,15-17 yrs,112,175706,15.978896,0,.19293101,.95999998,.34,1.37,2.6700001,63.742844
1973,9,1,all,15-17 yrs,121,179637,15.979163,0,.18163323,1.02,.34999999,1.35,2.72,67.358063
1974,9,1,all,15-17 yrs,88,181767,15.992694,0,.16358045,1.04,.34999999,1.34,2.72,48.413628
1975,9,1,all,15-17 yrs,97,181276,16.006603,0,.14989807,1.05,.34999999,1.29,2.6900001,53.509567
1976,9,1,all,15-17 yrs,90,180792,15.998058,0,.14173138,1.03,.37,1.26,2.6600001,49.780964
1977,9,1,all,15-17 yrs,93,179130,15.998605,0,.13307783,1.05,.34999999,1.21,2.6099999,51.917603
1978,9,1,all,15-17 yrs,112,178348,16.012173,0,.1236889,1.0700001,.38,1.2,2.6500001,62.798573
1979,9,1,all,15-17 yrs,114,176332,16.003204,0,.11108149,1.13,.40000001,1.2,2.72,64.650772
1980,9,1,all,15-17 yrs,119,175116,16.008177,0,.097870335,1.0599999,.43000001,1.21,2.7,67.954956
1981,9,1,all,15-17 yrs,98,170696,16.027323,0,.088718548,1.05,.44,1.1799999,2.6700001,57.412006
1982,9,.83338904,all,15-17 yrs,97,163058,16.03627,0,.083570115,1.04,.49000001,1.2,2.73,59.488033
1983,9,.67959863,all,15-17 yrs,85,156222,16.033913,0,.097162843,1.1,.49000001,1.23,2.8199999,54.409752
1984,9,.66826212,all,15-17 yrs,71,151833,16.018335,0,.093141668,1.1,.5,1.2,2.8,46.761902
1985,9,.40611988,all,15-17 yrs,76,150692,16.004772,0,.089938842,1.14,.5,1.2,2.8399999,50.433998
1986,9,.077845909,all,15-17 yrs,91,150544,16.01272,0,.08829762,1.13,.50999999,1.15,2.79,60.447445
1987,9,0,all,15-17 yrs,65,144450,16.056408,0,.085188553,1.15,.51999998,1.12,2.79,44.998268
1988,9,0,all,15-17 yrs,86,134381,16.08147,0,.081804045,1.14,.50999999,1.0700001,2.71,63.997143
1989,9,0,all,15-17 yrs,85,123012,16.053921,0,.1560874,1.09,.47,.98000002,2.54,69.098953
1990,9,0,all,15-17 yrs,79,117329,16.020992,0,.14808598,1.09,.44999999,.92000002,2.46,67.332031
1991,9,0,all,15-17 yrs,62,115109,16.012423,0,.14210601,1.03,.43000001,.83999997,2.29,53.861992
1992,9,0,all,15-17 yrs,65,115209,16.000538,0,.13795322,1.01,.44999999,.82999998,2.3,56.419205
1993,9,0,all,15-17 yrs,69,115598,15.98724,0,.13394351,.95999998,.44,.80000001,2.2,59.689613
1994,9,0,all,15-17 yrs,77,118012,15.984756,0,.13059945,.99000001,.43000001,.77999997,2.2,65.247604
1995,9,0,all,15-17 yrs,60,120270,15.973186,0,.12700026,.97000003,.49000001,.76999998,2.22,49.887753
1996,9,0,all,15-17 yrs,57,121893,15.988909,0,.1233578,.94,.46000001,.72000003,2.1300001,46.762325
1970,10,0,all,15-17 yrs,20,31730,15.972266,0,.16627868,1.17,.20999999,1.74,3.1199999,63.03183
1971,10,0,all,15-17 yrs,20,33750,15.975259,0,.15929908,1.2,.23999999,1.74,3.1800001,59.259258
1972,10,.16134389,all,15-17 yrs,32,35111,15.972971,0,.1543448,1.21,.25999999,1.6,3.0699999,91.139526
1973,10,.32588288,all,15-17 yrs,37,36082,15.982817,0,.14530659,1.22,.27000001,1.55,3.04,102.5442
1974,10,.32573792,all,15-17 yrs,39,36720,15.99744,0,.13086435,1.23,.25999999,1.51,3,106.20915
1975,10,.3236618,all,15-17 yrs,28,36653,16.003901,0,.11991845,1.23,.25999999,1.49,2.98,76.392113
1976,10,.32357505,all,15-17 yrs,24,36749,15.99834,0,.1133851,1.25,.25,1.4299999,2.9200001,65.307899
1977,10,.33188006,all,15-17 yrs,27,36444,15.997585,0,.10646226,1.3200001,.23999999,1.35,2.9100001,74.086266
1978,10,.33196428,all,15-17 yrs,37,36194,16.011494,0,.098951116,1.33,.25,1.33,2.9100001,102.22689
1979,10,.33138788,all,15-17 yrs,23,35322,16.010021,0,.088865191,1.38,.27000001,1.34,2.99,65.115227
1980,10,.33141854,all,15-17 yrs,31,34197,16.019884,0,.078296266,1.45,.28999999,1.38,3.1199999,90.65123
1981,10,.34862015,all,15-17 yrs,21,32579,16.034409,0,.070974834,1.51,.31999999,1.39,3.23,64.458702
1982,10,.3490909,all,15-17 yrs,17,30931,16.029678,0,.066856094,1.53,.34,1.36,3.23,54.96104
1983,10,.34485406,all,15-17 yrs,15,29435,16.031017,0,.064775229,1.53,.34999999,1.34,3.22,50.959743
1984,10,.30926061,all,15-17 yrs,14,28426,16.016357,0,.062094443,1.51,.38,1.28,3.1700001,49.250687
1985,10,.043799989,all,15-17 yrs,19,28185,15.987724,0,.059959225,1.46,.41,1.3,3.1600001,67.411743
1986,10,0,all,15-17 yrs,18,28676,15.986713,0,.058865082,1.45,.44,1.23,3.1300001,62.77026
1987,10,0,all,15-17 yrs,20,28207,16.029531,0,.056792367,1.4400001,.41999999,1.22,3.0799999,70.904388
1988,10,0,all,15-17 yrs,16,26911,16.062725,0,.054536033,1.4400001,.40000001,1.1900001,3.03,59.455242
1989,10,0,all,15-17 yrs,11,25127,16.048832,0,.052029137,1.4,.38,1.13,2.9100001,43.777611
1990,10,0,all,15-17 yrs,19,24608,16.008047,0,.11970285,1.4400001,.37,1.14,2.95,77.210663
1991,10,0,all,15-17 yrs,10,24729,15.998139,0,.11486903,1.4,.34999999,.94999999,2.7,40.438351
1992,10,0,all,15-17 yrs,11,25451,15.995678,0,.11151219,1.4,.36000001,.97000003,2.73,43.220306
1993,10,0,all,15-17 yrs,14,25920,15.9951,0,.10827101,1.46,.34999999,.94999999,2.76,54.012344
1994,10,0,all,15-17 yrs,11,26867,15.994752,0,.10556789,1.4299999,.38,.94999999,2.76,40.942421
1995,10,0,all,15-17 yrs,16,27749,15.987639,0,.10265854,1.3,.40000001,.92000002,2.6199999,57.659737
1996,10,0,all,15-17 yrs,16,28624,16.00559,0,.099714227,1.39,.44999999,.94,2.78,55.897148
1970,11,1,all,15-17 yrs,49,35755,15.982352,0,.18706352,1.39,.81999999,4.4400001,6.6399999,137.04378
1971,11,1,all,15-17 yrs,54,36399,15.988379,0,.17921147,1.37,.91000003,4.4499998,6.7399998,148.35573
1972,11,1,all,15-17 yrs,40,36678,15.992611,0,.17363791,1.34,.88999999,4.1599998,6.4000001,109.0572
1973,11,1,all,15-17 yrs,29,36823,15.99503,0,.16346991,1.39,.92000002,3.8900001,6.21,78.755127
1974,11,1,all,15-17 yrs,36,36760,16.000816,0,.1472224,1.39,.88999999,3.76,6.04,97.932533
1975,11,1,all,15-17 yrs,29,36533,16.005064,0,.13490826,1.37,.92000002,3.71,6,79.380287
1976,11,1,all,15-17 yrs,24,35798,16.013157,0,.12755825,1.34,.94,3.5699999,5.8600001,67.042854
1977,11,1,all,15-17 yrs,29,34579,16.024466,0,.11977004,1.39,.88999999,3.26,5.5300002,83.865929
1978,11,1,all,15-17 yrs,25,33496,16.020748,0,.11132001,1.4299999,.94,3.1400001,5.5100002,74.63578
1979,11,1,all,15-17 yrs,32,32371,16.015354,0,.099973336,1.48,.99000001,3.03,5.4899998,98.853912
1980,11,1,all,15-17 yrs,35,30116,16.033403,0,.088083304,1.49,.99000001,2.9400001,5.4200001,116.21729
1981,11,1,all,15-17 yrs,28,28712,16.040749,0,.079846688,1.5,1.0599999,2.9200001,5.4899998,97.520203
1982,11,1,all,15-17 yrs,31,26952,16.038921,0,.075213104,1.48,1,2.9100001,5.3899999,115.01929
1983,11,1,all,15-17 yrs,27,25453,16.046635,0,.072872132,1.55,1.08,2.79,5.4099998,106.07787
1984,11,1,all,15-17 yrs,30,24583,16.034861,0,.069856249,1.5599999,1.11,2.6800001,5.3400002,122.03555
1985,11,1,all,15-17 yrs,18,24722,16.00453,0,.067454129,1.49,1.03,2.4200001,4.9400001,72.809647
1986,11,.99060464,all,15-17 yrs,35,25602,15.99668,0,.066223219,1.52,1.04,2.1900001,4.75,136.70807
1987,11,.77325147,all,15-17 yrs,36,25350,16.046036,0,.063891411,1.48,1,2.3699999,4.8499999,142.01184
1988,11,.42791441,all,15-17 yrs,44,23703,16.095516,0,.061353035,1.47,.99000001,2.02,4.48,185.63051
1989,11,.094175003,all,15-17 yrs,49,21361,16.091053,0,.07258065,1.49,.88,1.85,4.2199998,229.39001
1990,11,0,all,15-17 yrs,50,17947,16.096228,0,.068859987,1.42,.75999999,1.96,4.1399999,278.59808
1991,11,0,all,15-17 yrs,59,16406,16.04285,0,.066079296,1.42,.61000001,1.85,3.8900001,359.62454
1992,11,0,all,15-17 yrs,50,15751,16.020443,0,.064148255,1.61,.69999999,1.74,4.0500002,317.44016
