sheet,chain,co_owned,state,empft,emppt,wage_st,empft2,emppt2,wage_st2,fte,fte2,dfte,gap,dw,sample
234,1,0,1,0,10,5,10,4,5.0500002,5,12,7,.0099999998,.050000191,1
240,3,1,1,15,35,5.0999999,15,15,5.0500002,32.5,22.5,-10,0,-.049999714,1
241,3,0,1,15,25,5,15,,5.0500002,27.5,,,.0099999998,.050000191,0
242,3,1,1,25,10,5.25,12,10,5.0500002,30,17,-13,0,-.19999981,1
245,3,0,1,15,8,5.5,8,12,5.0500002,19,14,-5,0,-.44999981,1
259,1,0,1,13,12,5,15,15,5.0500002,19,22.5,3.5,.0099999998,.050000191,1
268,1,1,1,10,18,5,0,42.5,5.0500002,19,21.25,2.25,.0099999998,.050000191,1
271,2,1,1,0,13,5,0,15,5.0500002,6.5,7.5,1,.0099999998,.050000191,1
272,2,1,1,4,11,5.0500002,2,14,5.25,9.5,9,-.5,0,.19999981,1
274,2,1,1,0,15,5.5,3,7,5.0500002,7.5,6.5,-1,0,-.44999981,1
276,2,1,1,5,10,5,5,15,5.0500002,10,12.5,2.5,.0099999998,.050000191,1
296,1,1,1,5,16,5.3000002,4,9,5.0500002,13,8.5,-4.5,0,-.25,1
299,2,1,1,3,8,5,6,12,5.0500002,7,12,5,.0099999998,.050000191,1
301,2,1,1,8,12,5,2,7,5.0500002,14,5.5,-8.5,.0099999998,.050000191,1
320,2,0,1,5,9,5,4,6,5.0500002,9.5,7,-2.5,.0099999998,.050000191,1
321,2,0,1,3,14,5,4,11,5.0500002,10,9.5,-.5,.0099999998,.050000191,1
324,3,0,1,20,46,5.25,22,39,5.0500002,43,41.5,-1.5,0,-.19999981,1
326,3,1,1,18,45,5.1500001,0,45,5.0500002,40.5,22.5,-18,0,-.099999905,1
330,4,0,1,4,16,5.4200001,3,20,5.6700001,12,13,1,0,.25,1
334,1,0,1,10,10,5,0,20,5.0500002,15,10,-5,.0099999998,.050000191,1
349,3,1,1,2.5,27,5,0,20,5.0500002,16,10,-6,.0099999998,.050000191,1
354,4,0,1,14,7,5.0599999,9,7,5.0500002,17.5,12.5,-5,0,-.009999752,1
356,4,0,1,11.5,10,5.0500002,0,28,5.0500002,16.5,14,-2.5,0,0,1
357,4,0,1,4.5,20,5,21,6,5.25,14.5,24,9.5,.0099999998,.25,1
371,1,0,1,12,23,5,11,22,5.25,23.5,22,-1.5,.0099999998,.25,1
373,1,1,1,14,12,5,18,15,5.0500002,20,25.5,5.5,.0099999998,.050000191,1
375,1,0,1,25,10,5.25,0,25,5.5,30,12.5,-17.5,0,.25,1
378,1,1,1,10,8,5,20,15,5.0500002,14,27.5,13.5,.0099999998,.050000191,1
381,1,0,1,10,20,5,15,15,5.0500002,20,22.5,2.5,.0099999998,.050000191,1
403,3,1,1,13,31,5.0500002,11,23,5.0500002,28.5,22.5,-6,0,0,0
406,4,1,1,12,35,5,17,22,5.5,29.5,28,-1.5,.0099999998,.5,1
407,4,1,1,5,10,5.75,8,7,5.5,10,11.5,1.5,0,-.25,1
409,1,0,1,3,60,5,0,15,5.0500002,33,7.5,-25.5,.0099999998,.050000191,1
1,1,0,1,16,30,4.5,20,40,5.0500002,31,40,9,.12222222,.55000019,1
2,1,0,1,10,6,4.75,7.5,10,5.25,13,12.5,-.5,.063157894,.5,1
3,2,0,1,6,13,4.25,4,7,5.0500002,12.5,7.5,-5,.1882353,.80000019,1
4,3,0,1,10,12,4.75,5,30,5.0500002,16,20,4,.063157894,.30000019,1
5,3,0,1,5,30,4.5,10,30,5.1500001,20,25,5,.12222222,.6500001,1
8,4,0,1,,25,4.8000002,15,25,5.0500002,,27.5,,.052083291,.25,0
9,1,0,1,12,40,4.3699999,0,32,5.0500002,32,16,-16,.15560643,.68000031,1
10,1,0,1,15,20,4.25,15,15,5.0500002,25,22.5,-2.5,.1882353,.80000019,1
11,1,0,1,10,30,4.25,12,24,5.0500002,25,24,-1,.1882353,.80000019,1
12,1,0,1,6.5,23.5,4.3699999,15,15,5.0500002,18.25,22.5,4.25,.15560643,.68000031,1
13,2,0,1,0,25,4.5,2,11,5,12.5,7.5,-5,.12222222,.5,1
15,3,0,1,3,25,4.5999999,5,20,5.0500002,15.5,15,-.5,.097826108,.45000029,1
16,3,0,1,6,22,4.5,7,17,5.0500002,17,15.5,-1.5,.12222222,.55000019,1
17,3,0,1,0,20,4.3699999,4,35,5.0500002,10,21.5,11.5,.15560643,.68000031,1
18,3,0,1,15,25,4.25,8,38,5.0500002,27.5,27,-.5,.1882353,.80000019,1
19,1,0,1,4,31,4.25,6,44,5.0500002,19.5,28,8.5,.1882353,.80000019,1
21,2,0,1,5,12,4.4499998,0,11,5.0500002,11,5.5,-5.5,.1348315,.60000038,1
22,3,0,1,3,15,4.3499999,3,15,5.0500002,10.5,10.5,0,.16091956,.70000029,1
23,1,0,1,0,25,4.5,14,14,5.0500002,12.5,21,8.5,.12222222,.55000019,1
24,1,0,1,15,15,4.75,15,20,5.0500002,22.5,25,2.5,.063157894,.30000019,1
28,2,0,1,0,14,4.5,6,2,,7,7,0,.12222222,,0
29,2,0,1,0,7,4.5,0,13,5.0500002,3.5,6.5,3,.12222222,.55000019,1
32,3,0,1,10,20.5,4.5,2,25,5.0500002,20.25,14.5,-5.75,.12222222,.55000019,1
34,3,1,1,5,15,4.9499998,11,7,5.0500002,12.5,14.5,2,.020202059,.10000038,1
35,4,0,1,25,6.5,4.5,13,18,5.0500002,28.25,22,-6.25,.12222222,.55000019,1
38,1,0,1,15,20,4.25,10,20,5.0500002,25,20,-5,.1882353,.80000019,1
63,1,1,1,26,6,4.25,15,10,5.0500002,29,20,-9,.1882353,.80000019,0
64,1,0,1,20,15,4.5,13,13,5.0500002,27.5,19.5,-8,.12222222,.55000019,1
65,1,0,1,0,20,4.8000002,,,5.0500002,10,,,.052083291,.25,0
66,1,0,1,15,18,4.25,26,10,5.0500002,24,31,7,.1882353,.80000019,1
67,1,0,1,5,15,4.5,4,17.5,5.0500002,12.5,12.75,.25,.12222222,.55000019,1
68,1,0,1,30,10,4.25,13,17,5.0500002,35,21.5,-13.5,.1882353,.80000019,1
69,1,0,1,0,27,4.25,0,27,5.0500002,13.5,13.5,0,.1882353,.80000019,1
70,1,0,1,35,20,4.5,10,30,5.0500002,45,25,-20,.12222222,.55000019,1
71,1,0,1,0,35,4.75,29,14,5.0500002,17.5,36,18.5,.063157894,.30000019,1
73,2,0,1,0,7,4.25,14,0,5.0500002,3.5,14,10.5,.1882353,.80000019,1
75,2,0,1,3,15,4.25,4,11,5.0500002,10.5,9.5,-1,.1882353,.80000019,1
76,3,1,1,8,32,4.25,25,15,5.0500002,24,32.5,8.5,.1882353,.80000019,1
79,3,1,1,6,25,4.5,8,18,5.0500002,18.5,17,-1.5,.12222222,.55000019,1
80,4,0,1,4.5,20,4.25,11,14,5.0500002,14.5,18,3.5,.1882353,.80000019,0
84,1,0,1,4,30,4.5,12,30,5.0500002,19,27,8,.12222222,.55000019,1
86,1,0,1,11,11,4.25,9,12,5.0500002,16.5,15,-1.5,.1882353,.80000019,1
87,1,0,1,0,15,4.5,0,30,5.0500002,7.5,15,7.5,.12222222,.55000019,0
88,1,0,1,3,35,4.25,4,37,5.0500002,20.5,22.5,2,.1882353,.80000019,1
91,1,1,1,8,22,4.25,0,30,5.0500002,19,15,-4,.1882353,.80000019,1
92,1,1,1,4,18,4.25,14,6,5.0500002,13,17,4,.1882353,.80000019,1
93,1,1,1,2.5,30,4.25,5,25,5.0500002,17.5,17.5,0,.1882353,.80000019,1
95,2,0,1,18,3,4.25,0,14,5.0500002,19.5,7,-12.5,.1882353,.80000019,1
96,2,0,1,0,15,4.25,0,15,5.0500002,7.5,7.5,0,.1882353,.80000019,1
97,2,0,1,0,12,4.25,2.5,11,5.0500002,6,8,2,.1882353,.80000019,1
98,2,0,1,0,20,4.25,3,13,5.0500002,10,9.5,-.5,.1882353,.80000019,1
99,3,1,1,60,40,4.75,30,50,5.0500002,80,55,-25,.063157894,.30000019,1
101,3,0,1,4.5,15,4.75,10,12,5.0500002,12,16,4,.063157894,.30000019,1
102,3,0,1,12,13,4.4000001,0,27,5.0500002,18.5,13.5,-5,.14772725,.6500001,1
104,4,0,1,40,20,4.6199999,11,10,5.0500002,50,16,-34,.093073621,.43000031,1
105,1,0,1,0,40,4.25,0,45,5.0500002,20,22.5,2.5,.1882353,.80000019,1
106,1,0,1,0,35,4.25,2,25,5.0500002,17.5,14.5,-3,.1882353,.80000019,1
107,1,1,1,6,11,4.25,13.5,10,5.0500002,11.5,18.5,7,.1882353,.80000019,1
108,1,0,1,13.5,15,4.25,11,24,5.0500002,21,23,2,.1882353,.80000019,1
111,3,0,1,17,14,4.25,20,14.5,5.0500002,24,27.25,3.25,.1882353,.80000019,1
114,1,0,1,0,35,4.75,20,40,5.25,17.5,40,22.5,.063157894,.5,1
115,1,0,1,20,25,4.75,6,15,5.0500002,32.5,13.5,-19,.063157894,.30000019,1
116,1,0,1,4,22.5,4.25,22,12,5.0500002,15.25,28,12.75,.1882353,.80000019,1
118,1,0,1,10,15,4.25,18,20,5.0500002,17.5,28,10.5,.1882353,.80000019,1
119,1,0,1,12,19,4.75,18,13,5.0500002,21.5,24.5,3,.063157894,.30000019,1
120,1,1,1,0,32,4.5,0,30,5.0500002,16,15,-1,.12222222,.55000019,1
122,1,0,1,1,38,4.25,10,50,5.0500002,20,35,15,.1882353,.80000019,1
124,1,0,1,8,10,4.25,21,6,5.0500002,13,24,11,.1882353,.80000019,1
125,2,0,1,15,0,4.5,0,15,5.0500002,15,7.5,-7.5,.12222222,.55000019,1
130,3,1,1,7,25.5,4.5,2,38,5.0500002,19.75,21,1.25,.12222222,.55000019,1
132,3,1,1,20,20,4.5,15,20,5.5,30,25,-5,.12222222,1,1
133,3,1,1,6,16,4.75,3,20,5.0500002,14,13,-1,.063157894,.30000019,1
134,3,0,1,5.5,25,4.6199999,6,27.5,5.0500002,18,19.75,1.75,.093073621,.43000031,1
136,3,1,1,14.5,14.5,4.25,,,,21.75,,,.1882353,,0
137,3,1,1,15,25,4.25,12,30,5.0500002,27.5,27,-.5,.1882353,.80000019,1
140,4,0,1,0,40,4.5,5,35,5.6700001,20,22.5,2.5,.12222222,1.1700001,1
141,4,0,1,10,15,4.75,10,25,5.0500002,17.5,22.5,5,.063157894,.30000019,1
142,4,0,1,15,35,4.25,40,31,5.0500002,32.5,55.5,23,.1882353,.80000019,1
146,1,0,1,8,20,4.8000002,0,32,5.0500002,18,16,-2,.052083291,.25,1
149,1,0,1,0,20,4.5,8,10,5.0500002,10,13,3,.12222222,.55000019,1
150,1,0,1,0,27.5,4.6700001,12,20,5.75,13.75,22,8.25,.081370436,1.0799999,1
156,1,0,1,8,15,4.8699999,2,18,5.0500002,15.5,11,-4.5,.036961012,.18000031,1
158,2,0,1,2,7,4.5,3,4,5.0500002,5.5,5,-.5,.12222222,.55000019,1
159,2,0,1,6,12,4.5,10,5,5.25,12,12.5,.5,.12222222,.75,1
162,3,1,1,0,40,4.75,3,30,5.0500002,20,18,-2,.063157894,.30000019,1
166,4,0,1,8,32,4.75,0,35,5.0500002,24,17.5,-6.5,.063157894,.30000019,1
168,1,0,1,5,20,4.25,0,32,5.25,15,16,1,.1882353,1,1
171,1,1,1,2,32,4.25,10,12.5,5.0500002,18,16.25,-1.75,.1882353,.80000019,1
172,1,0,1,0,24,4.75,7,23,5.0500002,12,18.5,6.5,.063157894,.30000019,1
173,1,0,1,6,40,4.8499999,11,30,5.0500002,26,26,0,.041237134,.20000029,1
174,1,0,1,11,20,4.75,20,20,5.0500002,21,30,9,.063157894,.30000019,1
176,1,0,1,15,21,4.6199999,20,27.5,5.0500002,25.5,33.75,8.25,.093073621,.43000031,1
178,2,1,1,13,12,4.25,1,10,5.0500002,19,6,-13,.1882353,.80000019,1
179,2,0,1,2,12,4.25,2,10,5.0500002,8,7,-1,.1882353,.80000019,1
180,2,0,1,8,3,4.5,0,17.5,5.0500002,9.5,8.75,-.75,.12222222,.55000019,1
182,2,0,1,3,15,4.5,0,15,5.0500002,10.5,7.5,-3,.12222222,.55000019,1
183,2,0,1,12,4,4.6199999,15,10,5.0500002,14,20,6,.093073621,.43000031,1
185,2,0,1,2,9,4.5,2,6,5.0500002,6.5,5,-1.5,.12222222,.55000019,1
186,3,0,1,10,20,4.75,12,18,5.0500002,20,21,1,.063157894,.30000019,1
189,3,0,1,4,15,4.75,0,19,5.0500002,11.5,9.5,-2,.063157894,.30000019,1
192,4,0,1,20,10,4.8699999,4.5,30,5.25,25,19.5,-5.5,.036961012,.38000011,1
193,4,0,1,1,13,4.5,4,9,5.0500002,7.5,8.5,1,.12222222,.55000019,1
195,4,0,1,0,30,4.25,8,25,5.0500002,15,20.5,5.5,.1882353,.80000019,1
198,1,0,1,,,4.25,10,32,5.0500002,,26,,.1882353,.80000019,0
199,2,0,1,0,12,4.3499999,11,3,5.0500002,6,12.5,6.5,.16091956,.70000029,1
200,1,0,1,0,60,4.25,5,40,5.0500002,30,25,-5,.1882353,.80000019,1
201,1,0,1,0,33,4.5,16,22,5.0500002,16.5,27,10.5,.12222222,.55000019,1
202,1,0,1,30,14,4.25,13,11,5.0500002,37,18.5,-18.5,.1882353,.80000019,1
203,1,0,1,9,12,4.25,4,34,5.0500002,15,21,6,.1882353,.80000019,1
204,1,0,1,10,8.5,4.25,12,13.5,5.0500002,14.25,18.75,4.5,.1882353,.80000019,1
207,2,1,1,8,10,4.75,8.5,6,5.1999998,13,11.5,-1.5,.063157894,.44999981,1
208,3,1,1,12,32,4.6199999,5,32,5.0500002,28,21,-7,.093073621,.43000031,1
209,3,1,1,4,36,4.25,6,37,5.0500002,22,24.5,2.5,.1882353,.80000019,1
210,4,1,1,0,19,4.5,0,14,5.0500002,9.5,7,-2.5,.12222222,.55000019,1
211,1,0,1,3,28,4.5,2,35,5.0500002,17,19.5,2.5,.12222222,.55000019,1
212,1,0,1,11,17.5,4.5,20,15,5.0500002,19.75,27.5,7.75,.12222222,.55000019,1
213,1,1,1,4.5,20,4.5500002,12,17.5,5.0500002,14.5,20.75,6.25,.10989007,.5,1
214,1,0,1,2,30,4.6199999,0,35,5.0500002,17,17.5,.5,.093073621,.43000031,1
215,1,0,1,10,10,4.5,20,10,5.0500002,15,25,10,.12222222,.55000019,1
216,2,0,1,2,11,4.25,2,18,5.0500002,7.5,11,3.5,.1882353,.80000019,1
217,2,1,1,2,13,4.25,0,12,5.0500002,8.5,6,-2.5,.1882353,.80000019,1
218,2,1,1,7,4,4.3499999,5,3,5.0500002,9,6.5,-2.5,.16091956,.70000029,1
219,2,1,1,3,9,4.25,9,9,5.0500002,7.5,13.5,6,.1882353,.80000019,1
220,2,0,1,3,15,4.25,3,12,5.0500002,10.5,9,-1.5,.1882353,.80000019,1
221,2,0,1,1,28,4.5999999,1,15,5.0500002,15,8.5,-6.5,.097826108,.45000029,1
222,3,1,1,2,24,4.25,2,15,5.0500002,14,9.5,-4.5,.1882353,.80000019,1
223,3,1,1,3,18,4.75,3,20,5.0500002,12,13,1,.063157894,.30000019,1
225,3,1,1,3,27,4.75,12,25,5.0500002,16.5,24.5,8,.063157894,.30000019,1
226,4,0,1,0,22,4.25,0,26,5.3000002,11,13,2,.1882353,1.0500002,1
228,4,0,1,3,28.5,4.5,11,19,5.0500002,17.25,20.5,3.25,.12222222,.55000019,1
229,1,0,1,3,40,4.5,22,11,5.5,23,27.5,4.5,.12222222,1,1
230,1,0,1,0,25,4.25,15,17,5.0500002,12.5,23.5,11,.1882353,.80000019,1
232,1,0,1,18,6,4.75,18,10,5.0500002,21,23,2,.063157894,.30000019,1
233,1,0,1,19,7,4.6500001,15,7,5.0500002,22.5,18.5,-4,.086021483,.4000001,1
235,1,0,1,5,17,4.25,,28,5.0500002,13.5,,,.1882353,.80000019,0
237,1,0,1,12,11,4.25,9,17,5.0500002,17.5,17.5,0,.1882353,.80000019,1
238,2,1,1,0,22,4.75,25,15,5.0500002,11,32.5,21.5,.063157894,.30000019,1
239,2,0,1,15,4,4.25,0,19,5.0500002,17,9.5,-7.5,.1882353,.80000019,1
243,3,1,1,7,25,4.5,7,22,5.0500002,19.5,18,-1.5,.12222222,.55000019,1
244,3,1,1,12,30,4.25,16,12,5.0500002,27,22,-5,.1882353,.80000019,1
247,4,0,1,0,40,4.5,0,40,5.0500002,20,20,0,.12222222,.55000019,1
248,4,0,1,8,16,4.75,10,14,5.0500002,16,17,1,.063157894,.30000019,1
